Explained Variance,PC_comp
0.041234317768220036,0.0
0.034722315354224695,1.0
0.026010364219253495,2.0
0.022922107607209884,3.0
0.02163440112816863,4.0
0.02122365271286185,5.0
0.01885840247455597,6.0
0.016478255701818403,7.0
0.015904478978814352,8.0
0.015592061284530995,9.0
0.015385850695637254,10.0
0.01498718235692264,11.0
0.014563008975197047,12.0
0.014397315725965846,13.0
0.014296056350412168,14.0
0.014127578579040333,15.0
0.014004660881508634,16.0
0.01386585081045644,17.0
0.013833659487347846,18.0
0.013751010936906304,19.0
0.013671485339141145,20.0
0.013653289516154484,21.0
0.013624497859082898,22.0
0.013575389683286948,23.0
0.013557292702731028,24.0
0.013544287014195727,25.0
0.013512538417122454,26.0
0.013503371188227505,27.0
0.013482629802324689,28.0
0.013464781976583682,29.0
0.013440722114623398,30.0
0.013436002641357591,31.0
0.013409587528316207,32.0
0.013401701984249347,33.0
0.013396606282439973,34.0
0.013382678536891006,35.0
0.01337517985189794,36.0
0.013371737646175762,37.0
0.013369037985419724,38.0
0.01336732099614569,39.0
0.013361143866955921,40.0
0.013355544155134354,41.0
0.013351415641835495,42.0
0.013350123320401556,43.0
0.013345180857483926,44.0
0.013338139647932753,45.0
0.013336659545060879,46.0
0.013333560776625416,47.0
0.013331344878194231,48.0
0.013304866476373042,49.0
0.013270979020311428,50.0
0.013214580858063572,51.0
0.013122315248780223,52.0
0.012944501319559334,53.0
0.01280583359276163,54.0
0.01273144431425064,55.0
0.012325642226071182,56.0
0.012098773501571883,57.0
0.011466036705588751,58.0
0.011317306289009926,59.0
0.011230878228071627,60.0
0.011043726793901107,61.0
0.01094780441386893,62.0
0.010265214968475699,63.0
0.010041817673297015,64.0
0.008904503038751356,65.0
0.008393963679624873,66.0
0.0068995705817591875,67.0
0.006123113708709812,68.0
0.004942314675874164,69.0
0.0036306147688348815,70.0
0.0007836883086915403,71.0
0.0004554889506330877,72.0
0.00028645107109321314,73.0
1.27858010269759e-05,74.0
1.1052668850362621e-17,75.0
1.0842834199523645e-17,76.0
5.061712988435068e-18,77.0
4.562164808902449e-18,78.0
3.0850006574601056e-18,79.0
2.175081013235981e-18,80.0
6.789042563367287e-19,81.0
0.0,82.0
-1.2601577300037882e-19,83.0
-3.7234508951283334e-19,84.0
-2.517875365608937e-18,85.0
-3.382514076801648e-18,86.0
-4.752305650115719e-18,87.0
-8.155783961438155e-18,88.0
-8.900263584450366e-18,89.0
